code,food_name_text,edible_portion_coefficient,energy_kcal,energy_kj,water_g,protein_g,fat_g,carbohydrate_available_g,total_dietary_fibre_g,ash_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,vitamin_a_mcg,retinol_mcg,beta_carotene_equiv_mcg,vitamin_d_mcg,vitamin_e_mg,thiamin_mg,riboflavin_mg,niacin_equiv_mg,vitamin_b6_mg,folate_mcg,vitamin_c_mg,source_pages
01_0001,"Barley, whole-grain, raw Jaab, gota",1,324,1360,11.7,10.9,2.2,56.4,17.3,1.5,26,5.5,133,264,452,4,2.77,0.5,1,0,13,0,0.9,0.47,0.2,7.8,0.318,34,0,"28,29,30"
01_0002,"Bread, bun/roll Bonruti, bun/roll",1,270,1140,33,8.8,2.8,50.9,2.8,1.7,26,1,22,96,133,501,0.73,0.13,,,,,,,,,,,,"28,29,30"
01_0003,"Bread, white, for toasting Pawruti",1,272,1150,30.4,8,1.4,55.6,2.5,2.1,119,2.2,26,103,131,592,0.68,0.14,0,0,0,0,0.24,0.21,0.34,3.9,0.063,30,0,"28,29,30"
01_0004,"Maize/corn flour, whole, white Bhutta, atta",1,355,1500,10.9,6.9,3.9,69.6,7.3,1.5,7,2.4,93,272,315,5,1.73,0.23,0,0,0,0,0.42,0.25,0.08,2.6,0.37,25,0,"28,29,30"
01_0005,"Maize/corn, yellow, dried, raw Bhutta, shukna",1,344,1450,13.1,9.9,3.4,64.7,7.3,1.6,12,2.9,143,329,248,14,3.27,0.43,11,0,129,0,0.49,0.39,0.11,2,0.622,20,0,"28,29,30"
01_0006,"Millet, Foxtail, raw Kaon",1,344,1450,11.8,10.4,4.3,61.7,8.5,3.3,32,2.8,81,290,250,7,1.5,1.4,5,0,60,0,0.05,0.59,0.11,3.2,0.384,85,0,"28,29,30"
01_0007,"Millet, Proso, whole-grain, raw Cheena, gota-dana",1,341,1440,12.5,11.2,4.2,60.3,8.5,3.3,14,5,114,285,195,5,2.3,0.75,0,0,0,0,0.05,0.42,0.29,6.7,0.384,85,0,"28,29,30"
01_0008,"Pear millet, whole-grain, raw Bajra, gota-dana",1,349,1470,12.4,10.1,5,61.4,8.8,2.3,42,8,137,296,307,11,3.1,1.06,0,0,0,0,0.05,0.33,0.16,2.3,0.384,85,0,"28,29,30"
01_0009,"Popcorn, maize (salt added) Popcorn, Bhutta",1,328,1380,13.7,10,3.1,58.6,12.9,1.6,10,2.8,135,349,294,785,3.7,0.23,7,0,80,0,0.2,0.09,0.07,1.5,0.14,28,0,"28,29,30"
01_0010,Rice flaked Chira,1,356,1510,9.9,6.5,1.1,79.2,1.3,2,25,6.8,47,130,150,2,1.36,0.37,,,,,,,,,,,,"28,29,30"
01_0011,"Chira, veja",1,105,444,73.2,2,0.3,23,0.9,0.6,8,2,14,39,45,1,0.4,0.11,,,,,,,,,,,,"28,29,30"
01_0012,"Rice, BR-28, parboiled, milled, raw",1,344,1454,12.4,6.5,0.4,76.8,3.4,0.5,9,0.7,43,126,146,2,1.32,0.2,0,0,0,0,0.11,0.21,0.05,4.6,0.168,11,0,"28,29,30"
01_0013,"Rice, BR-11, parboiled, milled, Chal, BR-11, siddha,",1,345,1460,11.9,7.9,0.3,76.1,3.4,0.4,1,0.7,43,127,146,2,1.32,0.2,0,0,0,0,0.07,0.06,0.04,0.8,0.169,11,0,"31,32,33"
01_0014,"raw kolechata Rice, BR-16, parboiled, milled, Chal, BR-16, siddha,",1,346,1470,11.8,6.2,0.3,77.9,3.4,0.5,2,0.7,43,127,147,2,1.33,0.2,0,0,0,0,0.08,0.1,0.03,1.8,0.148,11,0,"31,32,33"
01_0015,"raw kolechata Rice, BR-26, parboiled, milled, Chal, BR-26, siddha,",1,346,1470,11.7,8.4,0.4,75.5,3.4,0.6,2,0.7,43,127,147,2,1.33,0.2,0,0,0,0,0.11,0.09,0.03,1.7,0.171,11,0,"31,32,33"
01_0016,"Rice, BR-3, parboiled, milled, raw",1,344,1460,12,7.1,0.2,76.8,3.4,0.5,2,0.7,43,126,146,2,1.32,0.2,-3,0,0,0,0,0.04,0.02,0.6,0.169,11,0,"31,32,33"
01_0017,"kolechata Rice, BRRI Dhan-30, parboiled, Chal, BRRI Dhan-30,",1,349,1480,10.9,6.9,0.3,77.9,3.4,0.6,2,0.7,44,128,148,2,1.34,0.2,0,0,0,0,0.08,0.11,0.06,1.8,0.169,11,0,"31,32,33"
01_0018,"milled, raw siddha, kole chata Rice, BRRI Dhan-40, parboiled, Chal, BRRI Dhan-40,",1,349,1480,10.8,7,0.3,77.9,3.4,0.6,2,0.7,44,128,148,2,1.34,0.2,0,0,0,0,0.08,0.09,0.06,1.2,0.172,11,0,"31,32,33"
01_0019,"Rice, bran, raw Chaler kura",1,398,1660,6.1,13.4,20.9,28.6,21,10,59,18.5,994,1379,1155,5,6.04,0.73,0,0,0,0,4.92,2.26,0.22,41.8,4.07,63,0,"31,32,33"
01_0020,"Chal, siddha, dhekichata",1,348,1480,12.6,7.6,2.3,72.4,3.8,1.3,10,2.8,52,246,202,5,1.9,0.36,,,,,,,,,,,,"31,32,33"
01_0021,"Chal, lal, siddha, kolechata",1,350,1480,12.4,7.8,2.4,72.3,3.8,1.3,12,1,52,255,326,5,1.9,0.36,0,0,0,0,0.68,0.27,0.07,6.8,0.62,49,0,"31,32,33"
01_0022,"Rice, popped Khoi",1,380,1620,3.9,7.1,0.1,87,1.4,0.4,10,0.7,47,138,160,5,0.87,0.21,0,0,0,0,0.1,0.21,0.27,3.5,0,12,0,"31,32,33"
01_0023,"Rice, puffed, salted Muri",1,361,1540,7.3,6.7,0.1,82.7,1.4,1.8,9,0.7,45,133,154,650,0.84,0.2,,,,,,,,,,,,"31,32,33"
01_0024,"Rice, white, sunned, aromatic, Chal, atop, sugondhi,",1,343,1460,12.8,6.7,0.7,76.1,3.1,0.7,10,0.9,43,126,113,5,1.09,0.14,,,,,,,,,,,,"31,32,33"
01_0025,"milled, raw raw",1,345,1460,12.2,6.6,0.3,77.4,3.1,0.4,5,0.9,43,126,109,5,1.09,0.14,,,,,,,,,,,,"34,35,36"
01_0026,"Semolina, wheat, raw Sooji, gom",1,346,1470,12.8,10.9,1.4,70.6,3.9,0.5,17,1.1,40,105,158,5,2.18,0.25,0,0,0,0,0.1,0.18,0.05,4,0.085,57,0,"34,35,36"
01_0027,"Sorghum, raw Jowar",1,350,1480,11.9,10.1,3.3,66.9,6.3,1.5,25,5.8,290,222,350,6,1.6,0.46,,,,,,,,,,,,"34,35,36"
01_0028,"Sweet corn, yellow, on the cob, raw Bhutta, kancha",0.47,147,621,62.9,3.5,1.4,28.7,2.8,0.8,5,0.7,30,112,228,2,0.8,0.13,,,,,,,,,,,,"34,35,36"
01_0029,"Vermicelli, wheat, raw Semai",1,347,1470,11.7,8.9,0.6,74.9,3.2,0.7,22,2,42,92,140,8,1.38,0.29,0,0,0,0,0.11,0.19,0.05,3.4,0.142,18,0,"34,35,36"
01_0030,"Wheat flour, brown, whole grain, Ata, sada",1,334,1410,12.3,11.3,2.1,62.2,10.7,1.5,52,4.9,151,306,284,16,3.02,0.53,,,,,,,,,,,,"34,35,36"
01_0031,"Wheat, flour, white Ata, sada, packet",1,347,1470,12.2,10.6,1.6,70.3,4.4,0.8,13,3.8,58,140,210,10,1.55,0.19,0,0,0,0,0.43,0.13,0.05,4,0.099,20,0,"34,35,36"
01_0032,"Wheat flour, white, refined Maida",1,346,1470,12.8,9.8,1,73.1,2.7,0.6,13,2.7,58,140,210,10,1.55,0.19,0,0,0,0,0.06,0.12,0.07,4,0.044,20,0,"34,35,36"
01_0033,"Wheat, whole, raw Gom",1,344,1450,10,11.2,2.9,62,12.2,1.6,41,4.9,142,316,293,18,2.79,0.7,0,0,5,0,1.9,0.49,0.12,5.5,0.3,38,0,"34,35,36"
01_0034,"Biscuit, sweet* Misti biscuit",1,344,1450,24.3,5.8,10,56.7,2.4,0.8,83,2.1,32,131,116,83,0.87,0.13,0,0,0,0,0.93,0.05,0.03,1,0.049,7,0,"28,29,30"
01_0035,Plain Khichuri* Khichuri,1,163,683,65.7,5.1,7.4,17.7,2.5,1.6,13,1.1,19,54,92,410,0.69,0.12,24,21,27,0.1,0.13,0.08,0.02,0.3,0.041,4,0.2,"28,29,30"
01_0036,Plain pulao* Plain pulao,1,128,539,69.7,2.2,2.3,24.1,1.1,0.6,6,0,16,39,27,167,0.34,0.05,0,0,0,0,0.1,0.01,0.01,0.3,0.004,2,0.1,"28,29,30"
01_0037,"Rice, BR-28, boiled* (without salt) Bhat, BR-28, bosa bhat",1,109,464,71.2,2.1,0.1,24.3,1.1,0.2,6,0.3,16,39,39,3,0.41,0.07,0,0,0,0,0.04,0.03,0.01,1.1,0.028,3,0,"31,32,33"
01_0038,"Bhat, siddha, dhekichata",1,112,473,72,2.4,0.7,23.2,1.2,0.4,6,1,18,75,52,4,0.58,0.12,0,0,0,0,0.22,0.04,0.02,1.6,0.1,11,0,"31,32,33"
01_0039,"Bhat, lal, siddha, kolechata",1,112,475,71.9,2.5,0.8,23.2,1.2,0.4,7,0.4,18,78,84,4,0.58,0.12,0,0,0,0,0.22,0.04,0.02,1.6,0.1,11,0,"31,32,33"
01_0040,"Bhat, Sugondhi, bosa bhat",1,110,467,72,2.2,0.2,24.4,1,0.2,6,0.4,15,38,20,3,0.33,0.04,,,,,,,,,,,,"31,32,33"
01_0041,"Rice, white, sunned, polished, Bhat, Atop, bosa bhat",1,111,469,71.9,2.1,0.1,24.8,1,0.1,5,0.4,15,38,19,4,0.33,0.04,,,,,,,,,,,,"34,35,36"
01_0042,Ruti* Ruti,1,246,1040,37.3,7.5,1.2,49.7,3.1,1.1,11,2.7,42,99,149,231,1.1,0.13,0,0,0,0,0.3,0.07,0.04,1.3,0.063,7,0,"34,35,36"
01_0043,"Vermicelli, boiled* (without salt) Semai siddha",1,151,640,61.6,3.9,0.3,32.6,1.4,0.3,11,0.9,19,38,49,4,0.57,0.13,,,,,,,,,,,,"34,35,36"
02_0001,"Cholar dal, vanga",1,375,1580,10.5,20.2,6,59.2,1.2,2.8,56,8.8,110,331,725,39,3.34,1.34,3,0,40,0,2.88,0.48,0.27,2.4,0.535,148,0,"42,43,44"
02_0002,"Bengal gram, whole, dried, raw Chola, shukna",1,350,1470,8.9,20.4,6,44.8,17.4,2.6,203,8.8,130,368,716,33,2.68,1.23,3,0,40,0,2.88,0.3,0.27,4.9,0.535,186,0,"42,43,44"
02_0003,"Black gram, dehulled, dried, raw Mashkalai dal, asto",1,317,1340,11.3,22.3,1.7,45.1,16.3,3.3,184,5.9,189,337,1121,33,2.31,1.07,2,0,24,0,1.9,0.42,0.26,5.9,0.28,140,0,"42,43,44"
02_0004,"Black gram, split, dried, raw Maskalai dal, vanga",1,350,1490,10.5,22.6,1.2,61.8,0.9,3,53,3.3,142,385,790,35,2.45,1.08,5,0,56,0,1.9,0.42,0.18,2,0.28,132,0,"42,43,44"
02_0005,"Green gram, split, dried, raw Mung dal, vanga",1,351,1490,9.8,23.7,1.2,60.9,0.7,3.7,69,7.2,147,315,1300,30,2.73,1.66,3,0,39,0,1.9,0.36,0.14,6.6,0.5,140,0,"42,43,44"
02_0006,"Green gram, whole, dried, raw Mungkalai",1,318,1340,10.4,23.7,1.3,44.8,16.3,3.5,137,7.9,189,326,1780,28,2.68,1.17,3,0,39,0,1.9,0.47,0.39,6.6,0.5,140,0,"42,43,44"
02_0007,"Grass pea, split, dried, raw Khesari dal, vanga",1,352,1490,9.4,28.4,0.9,56.5,2.2,2.6,61,5.3,101,374,813,35,3.38,1.08,5,0,60,0,0.5,0.37,0.21,2.9,0.348,207,0,"42,43,44"
02_0008,"Lentil, dried, raw Mosur dal",1,317,1340,12.2,27.7,0.8,43.2,13.2,2.9,23,5.1,72,261,635,37,3.89,0.79,3,0,34,0,0.37,0.77,0.13,6.3,0.336,36,0,"42,43,44"
02_0009,"Pea, dried, raw Motor",1,327,1380,11.7,22.1,2.1,48.3,13,2.8,75,4.8,102,298,709,21,3.49,1.29,3,0,39,0,1.04,0.47,0.13,5.5,0.075,33,0,"42,43,44"
02_0010,"Red gram, split, dried, raw Arhar dal",1,347,1470,10.8,22.3,1.5,60.4,1.5,3.5,55,2.7,96,304,1100,29,2.1,1.2,3,0,30,0,0.83,0.45,0.19,2.9,0.283,103,0,"42,43,44"
02_0011,"Soybean, dried, raw Gari kalai/Soyabean",1,424,1770,9.2,32.9,19.9,23.6,9.3,5,241,11.3,207,691,1530,5,5.7,1.25,1,0,13,0,2.9,0.73,0.5,7.9,0.417,100,0,"42,43,44"
02_0012,"Chola siddha, lobon chara",1,182,766,52.5,10.6,3.1,23.3,9.1,1.3,94,4,59,172,280,16,1.26,0.45,2,0,21,0,1.35,0.1,0.1,1.7,0.195,48,0,"42,43,44"
02_0013,"Mung dal siddha, lobon chara",1,161,685,58.5,10.9,0.5,28.1,0.3,1.7,30,2.9,59,131,448,13,1.13,0.54,1,0,18,0,0.8,0.11,0.05,2,0.2,32,0,"42,43,44"
02_0014,"Grass pea, split, boiled* (without Khesari dal siddha, lobon",1,142,602,63.5,11.4,0.4,22.8,0.9,1,24,1.9,36,136,246,13,1.23,0.31,2,0,24,0,0.2,0.1,0.06,0.8,0.098,42,0,"42,43,44"
02_0015,"Lentil, boiled* (without salt) Mosur dal siddha, lobon chara",1,155,657,56.9,13.6,0.4,21.2,6.5,1.4,12,2.2,31,115,234,16,1.72,0.27,1,0,17,0,0.16,0.24,0.05,2,0.115,9,0,"42,43,44"
02_0016,"Pea, boiled* (without salt) Motor siddha, lobon chara",1,170,718,54,11.5,1.1,25.2,6.8,1.4,37,2.3,47,140,277,12,1.64,0.47,2,0,20,0,0.49,0.16,0.05,1.9,0.027,9,0,"42,43,44"
03_0001,"Amaranth, stem, raw Data",0.73,21,91,92.3,0.9,0.1,3.7,1.2,1.8,,,,,,,,,,,,,,,,,,,,"50,51,52"
03_0002,"Bean, scarlet runner, raw Shim",0.59,54,228,85,3.9,0.1,8.3,2,0.7,44,1.1,25,34,220,0,0.48,0.02,32,0,384,0,0.06,0.05,0.01,0,0.08,60,8.7,"50,51,52"
03_0003,"Bean, seeds and pods, raw Shim",0.91,29,122,90,2.4,0.1,2.5,4.3,0.6,70,0.9,51,49,170,10,0.37,0.6,19,0,227,0,0.51,0.08,0.09,0.5,0.063,62,9.6,"50,51,52"
03_0004,"Beet root, red, raw Beet",0.85,46,194,85.8,2,0.1,7.9,2.8,1.4,15,1,23,40,325,78,0.35,0.08,1,0,7,0,0.08,0.03,0.06,0.4,0.067,109,14.5,"50,51,52"
03_0005,"Brinjal, purple, long, raw Begun, kalo, lomba",0.94,24,100,91.4,1.9,0.1,2,4.1,0.7,21,0.4,24,47,178,8,0.57,0.68,4,0,45,0,0.1,0.03,0.07,0.9,0.079,34,1.3,"50,51,52"
03_0006,"Broad beans, raw Makhon shim",0.88,50,209,85.4,4.5,0.6,4.5,4.2,0.8,50,1.4,38,95,250,50,0.58,0.07,8,0,102,0,0.28,0.08,0.11,2.4,0.038,96,9,"50,51,52"
03_0007,"Cabbage, raw Badhakopi",0.88,24,101,92.7,1.5,0.3,2.6,2.5,0.4,30,0.5,15,30,170,8,0.4,0.02,5,0,59,0,0.2,0.06,0.05,0.6,0.156,43,16.1,"50,51,52"
03_0008,"Carrot, raw Gajor",0.83,34,147,89.7,0.9,0.3,6,2.6,0.6,26,0.4,16,35,145,54,0.07,0.23,329,0,6280,0,0.55,0.04,0.09,1.1,0.133,15,1.4,"50,51,52"
03_0009,"Cauliflower, raw Fulkopi",0.45,27,113,91.8,2.6,0.3,2.5,2,0.8,33,0.8,22,44,299,20,0.41,0.03,1,0,8,0,0.22,0.03,0.03,1.1,0.184,57,72.7,"50,51,52"
03_0010,"Chilli, green, with seeds, raw Kancha morich",0.91,45,189,85.5,2.8,0.1,5.9,4.7,1,22,1.6,43,30,282,12,1.97,0.87,10,0,115,0,0.29,0.03,0.05,1.3,0.23,10,102.3,"50,51,52"
03_0011,"Cowpea, pods and seeds, raw Borboti",0.9,39,160,87,3,0.4,2.8,6,0.8,54,0.5,51,53,431,23,1.01,0.13,,,,,,,,,,,,"50,51,52"
03_0012,"Cucumber, peeled, raw Shosa",0.83,17,72,95.1,0.8,0.1,2.9,0.7,0.4,13,0.6,12,17,105,2,0.17,0.05,4,0,44,0,0.07,0.16,0.02,0.3,0.051,14,7.2,"50,51,52"
03_0013,"Drumstick, pods, raw Sajna data",0.63,43,181,85.2,2.9,0.2,5.1,4.8,1.9,24,0.2,28,110,259,42,0.16,0.01,,,,,,,,,,,,"53,54,55"
03_0014,"Garlic, raw Rosun",0.84,147,623,61.6,6.9,0.6,27.6,2.1,1.3,25,1.6,25,162,511,11,1.08,0.18,0,0,0,0,0.08,0.13,0.12,2.4,1.235,4,24.1,"53,54,55"
03_0015,"Gourd, ash, raw Chalkumra",0.67,10,41,96.5,0.4,0.1,1,1.7,0.3,30,0.8,17,14,139,39,0.1,0.02,,,,,,,,,,,,"53,54,55"
03_0016,"Gourd, bitter, raw Korola",0.95,31,129,90.4,2.1,0.3,3.6,2.6,1.1,16,1.8,31,20,182,36,0.35,0.27,,,,,,,,,,,,"53,54,55"
03_0017,"Gourd, bottle, raw Lau",0.87,34,142,90.8,1.1,0.1,6.8,0.6,0.6,26,0.7,11,53,150,39,0.58,0.16,,,,,,,,,,,,"53,54,55"
03_0018,"Gourd, pointed, raw Potol",0.95,24,102,92.6,2,0.3,2.2,2.2,0.5,16,1.7,15,18,148,28,0.4,0.17,,,,,,,,,,,,"53,54,55"
03_0019,"Gourd, ridge, raw Jhinga",0.82,29,121,92.4,1.3,0.4,4.6,1.1,0.3,21,1.3,14,32,139,39,0.5,0.23,2,0,26,0,0.1,0.11,0.03,0.5,0.043,7,4.6,"53,54,55"
03_0020,"Gourd, snake, raw Chichinga",0.98,24,103,93.4,0.5,0.3,4.5,0.8,0.5,31,0.4,17,28,155,39,0.32,0.18,,,,,,,,,,,,"53,54,55"
03_0021,"Gourd, sponge, raw Dhundul",0.94,24,102,92.9,0.9,0.2,4.3,1.1,0.7,19,0.6,14,32,139,39,0.5,0.23,,,,,,,,,,,,"53,54,55"
03_0022,"Gourd, teasle, raw Kakrol",0.85,61,259,83.7,1.9,0.5,11.8,1.1,1.1,27,2.6,20,26,186,52,0.48,0.1,14,0,163,0,0.23,0.08,0.06,0.8,0.043,16,142.8,"53,54,55"
03_0023,"Okra/ladies finger, raw Dheros",0.84,39,164,87.7,2.1,0.2,5.7,3.1,1.1,93,0.9,20,28,178,37,0.34,0.08,19,0,227,0,0.27,0.04,0.16,1.4,0.215,60,17.5,"53,54,55"
03_0024,"Onion, raw Piaj",0.87,59,249,83.7,1.4,0.1,12.2,1.9,0.7,24,0.9,24,29,210,11,0.41,0.36,2,0,23,0,0.02,0.05,0.14,0.3,0.168,19,4.5,"53,54,55"
03_0025,"Papaya, unripe, raw Kancha pepe",0.66,30,125,90.6,0.8,0.1,5.7,1.5,1.3,15,0.6,56,15,129,7,0.22,0.02,,,,,,,,,,,,"56,57,58"
03_0026,"Peas, raw Motorshuti",0.53,91,384,74.3,7,0.4,12.5,5.1,0.9,43,1.6,47,108,244,5,1.24,0.18,38,0,455,0,0.13,0.4,0.14,2.8,0.169,65,7.6,"56,57,58"
03_0027,"Plantain, raw Kancha kola",0.58,77,327,78.9,2,0.3,15.5,2.3,1,22,0.6,28,21,242,4,0.14,0.08,56,0,676,0,0.14,0.09,0.06,0.9,0.299,22,7.3,"56,57,58"
03_0028,"Pumpkin, raw Mistikumra",0.79,18,77,93.9,1.4,0.3,1.3,2.4,0.7,52,0.7,10,16,349,8,0.11,0.21,369,0,4430,0,1.06,0.07,0.06,0.8,0.061,16,21.1,"56,57,58"
03_0029,"Radish, raw Mula",0.99,18,74,94.3,0.9,0.1,2.5,1.6,0.6,24,0.4,15,23,142,40,0.38,0.03,0,0,0,0,0,0.43,0,0.5,0.071,25,17.3,"56,57,58"
03_0030,"Tomato, green, raw Kancha tomato",0.98,23,96,93.3,1.9,0.2,2.5,1.7,0.4,16,0.3,7,28,156,7,0.19,0.3,,,,,,,,,,,,"56,57,58"
03_0031,"Tomato, red, ripe, raw Paka tomato",1,16,66,95,1.1,0.2,1.4,1.7,0.5,13,0.2,7,24,156,7,0.41,0.97,9,0,104,0,0.54,0.04,0.04,0.6,0.049,15,12.3,"56,57,58"
03_0032,"Turnip, raw Shalgom",0.74,26,110,92.1,1.1,0.2,4.1,1.8,0.7,32,0.4,10,34,236,41,0.52,0.05,0,0,0,0,0.03,0.04,0.02,0.6,0.09,15,24.7,"56,57,58"
03_0033,"Begun siddha, lobon chara",1,26,109,90.6,2.1,0.1,2.1,4.4,0.7,24,0.4,21,47,132,8,0.52,0.63,4,0,47,0,0.11,0.02,0.06,0.7,0.06,20,1,"50,51,52"
03_0034,"Cabbage, boiled* (without salt)",1,27,115,91.7,1.7,0.4,2.9,2.8,0.5,35,0.5,12,31,97,9,0.34,0.03,5,0,60,0,0.23,0.04,0.04,0.4,0.115,24,7.3,"50,51,52"
03_0035,"Carrot, boiled* (without salt) Gajor siddha, lobon chara",1,43,181,87.3,1.1,0.3,7.3,3.1,0.7,34,0.5,14,39,81,40,0.07,0.26,364,0,6960,0,0.68,0.04,0.07,1,0.115,9,0.7,"50,51,52"
03_0036,"Cauliflower, boiled* (without salt) Fulkopi siddha, lobon chara",1,28,119,91.4,2.7,0.3,2.7,2.1,0.8,36,0.8,20,42,214,18,0.37,0.02,1,0,8,0,0.22,0.02,0.02,0.7,0.135,32,46.6,"50,51,52"
03_0037,"Cowpea, boiled* (without salt) Borboti siddha, lobon chara",1,40,167,86.5,3.1,0.4,3,6.3,0.8,54,0.5,43,50,306,20,0.9,0.12,,,,,,,,,,,,"50,51,52"
03_0038,"Gourd, pointed, boiled* (without salt) Potol siddha, lobon chara",1,28,116,91.6,2.3,0.4,2.5,2.5,0.6,20,1.7,15,18,115,26,0.39,0.17,,,,,,,,,,,,"53,54,55"
03_0039,"Gourd, teasle, boiled* (without salt) Kakrol siddha, lobon chara",1,69,294,81.5,2.2,0.5,13.4,1.3,1.2,31,2.6,19,27,144,46,0.46,0.1,15,0,178,0,0.26,0.06,0.05,0.6,0.034,10,99,"53,54,55"
03_0040,"Dheros siddha, lobon chara",1,32,134,90,1.7,0.1,4.7,2.5,0.9,72,0.7,13,21,99,24,0.23,0.06,15,0,177,0,0.21,0.02,0.1,0.8,0.123,26,8.7,"53,54,55"
03_0041,"Papaya, unripe, boiled* (without salt)",1,32,134,89.9,0.8,0.1,6.1,1.6,1.4,17,0.6,48,15,94,8,0.2,0.02,,,,,,,,,,,,"56,57,58"
03_0042,"Plantain, boiled* (without salt)",1,76,320,79.3,1.9,0.3,15.2,2.3,1,22,0.6,23,18,161,5,0.12,0.07,53,0,636,0,0.13,0.06,0.04,0.6,0.205,12,4.3,"56,57,58"
03_0043,"Pumpkin, boiled* (without salt)",1,29,120,90.4,2.2,0.5,2.1,3.8,1.1,79,1.1,14,23,371,13,0.14,0.28,554,0,6640,0,1.61,0.08,0.07,0.8,0.067,14,20.1,"56,57,58"
03_0044,"Radish, boiled* (without salt) Mula siddha, lobon chara",1,24,99,92.4,1.2,0.1,3.3,2.1,0.8,35,0.5,14,28,86,33,0.38,0.04,0,0,0,0,0,0.4,0,0.4,0.066,17,9.2,"56,57,58"
03_0045,"Tomato, red, ripe, boiled* (without Paka tomato siddha, lobon",1,30,124,90.6,2.1,0.5,2.7,3.1,1,24,0.4,12,41,200,11,0.66,1.55,16,0,187,0,0.98,0.05,0.05,0.7,0.064,15,14.1,"56,57,58"
03_0046,Lady’s finger-tomato bhuna * Dheros-tomato bhuna,1,127,526,72.1,3.4,7.4,9,5,3.1,128,1.4,31,50,319,565,0.67,0.53,26,0,299,0,0.81,0.06,0.22,1.5,0.297,60,24.5,"53,54,55"
03_0047,"Gourd, bitter, boiled* (without salt) Korola siddha, lobon chara",1,35,147,89,2.3,0.4,4.1,3,1.2,20,1.8,29,20,141,33,0.34,0.26,,,,,,,,,,,,"53,54,55"
03_0048,"Gourd, bitter, fry*",1,130,540,74,3.1,9.1,7.1,4.1,2.7,27,2.9,48,34,304,469,0.61,0.44,30,0,305,0,0.31,0.07,0.06,0.6,0.041,45,103.2,"53,54,55"
04_0001,"Agathi, raw Bok ful shak",1,88,370,73.1,8.4,1.8,5.7,7.9,3.1,,,,,,,,,,,,,,,,,,,,"62,63"
04_0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62,63"
04_0003,"Amaranth, leaves, spiney, raw Kanta notay shak",0.79,51,214,81.8,4.8,0.3,5.2,4.4,3.6,640,14.4,265,72,679,56,0.32,0.36,,,,,,,,,,,,"62,63"
04_0004,"Amaranth, leaves, red, raw Lal shak",0.69,32,131,88.8,4.5,0.3,0.5,4.2,1.7,256,6,181,32,261,59,0.96,0.22,,,,,,,,,,,,"62,63"
04_0005,"Amaranth, leaves, green, raw Sobuj data shak",0.79,25,104,91,2,0.3,1.5,4.4,0.9,171,8.4,181,47,321,36,0.98,0.12,,,,,,,,,,,,"62,63"
04_0006,"Dock leaves, raw Chukai shak, bivinno projati",1,46,194,86.4,3.1,0.7,5.9,1.8,2.1,74,6.7,82,48,602,14,0.43,0.13,,,,,,,,,,,,"62,63"
04_0007,Beet greens leaves Beet shak,0.54,31,129,88.7,2.8,0.5,2.1,3.7,2.3,249,2.6,70,36,762,226,0.41,0.14,,,,,,,,,,,,"62,63"
04_0008,"Bengal dayflower, leaves, raw Bat baitta shak",0.71,22,94,92.3,2,0.3,2.2,1.4,1.7,113,7.1,77,19,473,21,0.63,0.09,,,,,,,,,,,,"62,63"
04_0009,"Bitter gourd leaves, green, raw Korola shak",0.38,55,231,84,4.9,0.5,6.1,3.1,1.4,110,5.2,167,90,724,31,0.95,0.59,,,,,,,,,,,,"62,63"
04_0010,"Bottle gourd leaves, raw Lau shak",0.71,26,109,90.2,2.5,0.6,0.6,4.4,1.7,94,3.1,69,28,276,41,0.49,0.15,,,,,,,,,,,,"62,63"
04_0011,"Bugleweed, raw Sabarang",0.71,43,179,88.6,2.6,1.3,4.6,1.3,1.7,,,,,,,,,,,,,,,,,,,,"62,63"
04_0012,"Cassava, leaves, raw Simei alu shak",0.85,62,259,82.4,4.7,1.2,5.7,4.8,1.3,201,4.9,54,36,303,22,0.45,0.81,,,,,,,,,,,,"62,63"
04_0013,"Colocasia leaves, black, raw Kalo kochu shak",0.7,62,261,81.8,5.6,1.2,5.3,3.7,2.4,392,2.1,130,39,763,48,0.98,0.25,,,,,,,,,,,,"62,63"
04_0014,"Colocasia leaves, green, raw Shobuj kochu shak",0.8,51,212,84.7,4,1.1,4.4,3.7,2.1,235,4.9,61,40,764,47,0.68,0.19,,,,,,,,,,,,"65,66"
04_0015,"Cowpea, leaves, raw Borboti pata",0.8,34,141,89,3.4,0.7,1.7,3.6,1.6,290,5.1,60,61,475,44,0.5,0.27,,,,,,,,,,,,"65,66"
04_0016,"Dima leaves, raw Dima shak",0.71,33,137,91.1,1.7,1,3.6,1,1.6,,,,,,,,,,,,,,,,,,,,"65,66"
04_0017,"Drumstick, leaves, raw Sajna pata",0.75,72,300,79.7,6.7,1.8,4.6,5.2,2,440,0.9,42,70,259,30,0.16,0.07,,,,,,,,,,,,"65,66"
04_0018,"Fern, leaves, raw Dheki shak",1,68,287,82.3,1.3,0.6,13.7,1,1.1,,,,,,,,,,,,,,,,,,,,"65,66"
04_0019,"Fenugreek, leaves, raw Methi shak",0.59,50,210,86.1,4.4,0.9,5,2.1,1.5,395,1.9,41,51,31,76,0.34,0.1,,,,,,,,,,,,"65,66"
