code,food_name_text,edible_portion_coefficient,energy_kcal,energy_kj,water_g,protein_g,fat_g,carbohydrate_available_g,total_dietary_fibre_g,ash_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,vitamin_a_mcg,retinol_mcg,beta_carotene_equiv_mcg,vitamin_d_mcg,vitamin_e_mg,thiamin_mg,riboflavin_mg,niacin_equiv_mg,vitamin_b6_mg,folate_mcg,vitamin_c_mg,source_pages
10_0009,"Duck, meat, raw Hasher mangshaw",0.84,130,545,72.3,21.6,4.8,0,0,1.2,4,2.4,19,235,271,74,1.9,0.25,24,24,0,0.1,0.02,0.36,0.45,8.8,0.34,25,0,"129,130,131"
10_0010,"Frog, legs, raw",,,,,,,,,,18,1.5,20,147,285,58,1.37,0.05,15,15,0,0.2,1,0.14,0.25,1.2,0.12,15,0,"129,130,131"
10_0011,"Goat meat, lean, raw Khaseer mangsaw",0.69,118,497,74.2,21.4,3.6,0,0,1.1,12,2.8,27,193,385,82,4,0.26,,,,,,,,,,,,"129,130,131"
10_0012,"Lamb/mutton, meat, moderately fat, raw Verar mangsaw",0.75,196,814,71.5,18.5,13.5,0,0,1.3,13,2.2,19,150,136,41,3.92,0.08,9,9,0,0.2,0.31,0.18,0.14,4.1,0.125,6,0,"129,130,131"
10_0013,"Lamb/Mutton, liver, raw Verar koliza",1,150,628,70.4,19.3,7.5,1.3,0,1.5,10,6.3,19,380,290,73,4,9.67,8250,8240,103,2,0.93,0.36,1.7,20.7,0.9,205,20,"129,130,131"
10_0014,"Pigeon meat, raw",,,,,,,,,,12,2.5,30,290,283,60,2.94,0.47,,,,,,,,,,,,"129,130,131"
10_0015,"Pork, meat, <5 % fat, raw Shukorer mangsaw",1,114,481,77.4,18.7,4.4,0,0,1,30,2.2,18,200,261,60,2.57,0.07,0,0,0,0.04,0,0.53,0.16,5.2,0.311,1,0,"129,130,131"
10_0016,Beef handi kabab* Haaree kabab (goru),1,233,968,60.4,12.7,16.9,6.6,1.8,1.7,25,2,25,88,220,345,3.02,0.21,12,7,66,0.3,0.52,0.04,1,1.8,0.109,10,2.2,"129,130,131"
11_0001,"Egg, chicken, farmed, raw Murgir dim, farm er",0.87,139,579,72.3,14.5,9,0,0,0.8,29,1.5,21,220,110,116,2.36,0.3,165,165,0,1.9,0.83,0.18,0.4,3.8,0.149,50,0,"136,137"
11_0002,"Egg, chicken, native, raw Murgir dim, deshi",0.87,158,655,76.1,13.3,11.6,0,0,0.9,60,1.7,11,220,97,135,2.03,0.3,213,213,0,2.4,1.2,0.18,0.4,3.8,0.149,50,0,"136,137"
